year,sex,lasalle_degree,nafa_degree,nie,ntu,nus,sit,smu,suss,sutd,total,type
2010,M,0,0,930,11473,12122,248,3196,0,0,27969,enroll
2010,MF,0,0,2816,22862,25189,523,6721,0,0,58111,enroll
2010,F,0,0,1886,11389,13067,275,3525,0,0,30142,enroll
2011,M,0,11,820,11686,12447,684,3330,0,0,28978,enroll
2011,MF,0,20,2579,23040,25513,1416,6853,0,0,59421,enroll
2011,F,0,9,1759,11354,13066,732,3523,0,0,30443,enroll
2012,M,310,21,821,11476,12684,1341,3424,0,178,30255,enroll
2012,MF,1081,43,2445,22862,25979,2587,7108,0,327,62432,enroll
2012,F,771,22,1624,11386,13295,1246,3684,0,149,32177,enroll
2013,M,334,26,622,11260,12624,1734,3508,0,334,30442,enroll
2013,MF,1290,51,1838,22777,26156,3051,7297,0,583,63043,enroll
2013,F,956,25,1216,11517,13532,1317,3789,0,249,32601,enroll
2014,M,330,22,600,11398,12755,2075,3632,72,523,31407,enroll
2014,MF,1176,53,1913,23021,26797,3557,7515,217,886,65135,enroll
2014,F,846,31,1313,11623,14042,1482,3883,145,363,33728,enroll
2010,F,0,0,1327,2951,3405,275,823,0,0,8781,intake
2010,M,0,0,612,3181,3163,248,863,0,0,8067,intake
2010,MF,0,0,1939,6132,6568,523,1686,0,0,16848,intake
2011,F,0,9,1258,3026,3566,472,869,0,0,9200,intake
2011,M,0,11,569,3151,3158,464,860,0,0,8213,intake
2011,MF,0,20,1827,6177,6724,936,1729,0,0,17413,intake
2012,F,278,13,1198,3028,3545,597,1121,0,149,9929,intake
2012,M,120,12,584,2877,3188,707,809,0,178,8475,intake
2012,MF,398,25,1782,5905,6733,1304,1930,0,327,18404,intake
2013,F,282,12,946,3537,3685,627,983,0,103,10175,intake
2013,M,140,14,478,3123,3207,883,941,0,162,8948,intake
2013,MF,422,26,1424,6660,6892,1510,1924,0,265,19123,intake
2014,F,306,19,1097,3153,3857,813,908,145,125,10423,intake
2014,M,141,8,526,3327,3251,1023,1004,72,192,9544,intake
2014,MF,447,27,1623,6480,7108,1836,1912,217,317,19967,intake
2010,M,123,12,607,3042,2986,653,830,0,0,8253,graduate
2010,MF,520,25,1732,5993,6210,1236,1602,0,0,17318,graduate
2010,F,397,13,1125,2951,3224,583,772,0,0,9065,graduate
2011,M,103,13,552,2979,2987,762,799,0,162,8357,graduate
2011,MF,363,24,1880,5756,6179,1364,1639,0,298,17503,graduate
2011,F,260,11,1328,2777,3192,602,840,0,136,9146,graduate
2012,M,121,7,552,2790,2973,746,774,0,153,8116,graduate
2012,MF,407,25,1628,5856,6305,1285,1804,0,246,17556,graduate
2012,F,286,18,1076,3066,3332,539,1030,0,93,9440,graduate
2013,M,148,12,393,2908,3096,799,859,0,160,8375,graduate
2013,MF,466,34,1292,6174,6446,1494,1779,0,267,17952,graduate
2013,F,318,22,899,3266,3350,695,920,0,107,9577,graduate
2014,M,110,5,310,3037,3094,995,984,56,182,8773,graduate
2014,MF,429,15,1153,5990,6700,1744,1887,168,334,18420,graduate
2014,F,319,10,843,2953,3606,749,903,112,152,9647,graduate
