year,sex,ite,lasalle_degree,lasalle_diploma,nafa_degree,nafa_diploma,nanyang_polytechnic,ngee_ann_polytechnic,nie,ntu,nus,republic_polytechnic,singapore_polytechnic,sit,smu,suss,sutd,temasek_polytechnic
1982,M,8173,0,0,0,0,0,2507,192,525,5530,0,4270,0,0,0,0,0
1982,F,2130,0,0,0,0,0,1153,808,57,5563,0,1069,0,0,0,0,0
1982,MF,10303,0,0,0,0,0,3660,1000,582,11093,0,5339,0,0,0,0,0
1983,MF,10664,0,0,0,0,0,4825,1078,1267,11939,0,6136,0,0,0,0,0
1983,F,2753,0,0,0,0,0,1650,853,120,6596,0,1318,0,0,0,0,0
1983,M,7911,0,0,0,0,0,3175,225,1147,5343,0,4818,0,0,0,0,0
1984,MF,9419,0,0,0,0,0,6919,776,1945,12721,0,7129,0,0,0,0,0
1984,F,2831,0,0,0,0,0,2374,605,230,7076,0,1679,0,0,0,0,0
1984,M,6588,0,0,0,0,0,4545,171,1715,5645,0,5450,0,0,0,0,0
1985,M,10051,0,0,0,0,0,5523,244,1825,6221,0,5970,0,0,0,0,0
1985,MF,13890,0,0,0,0,0,8516,1166,2078,13617,0,7894,0,0,0,0,0
1985,F,3839,0,0,0,0,0,2993,922,253,7396,0,1924,0,0,0,0,0
1986,M,9984,0,0,0,0,0,6147,238,1900,6569,0,6058,0,0,0,0,0
1986,MF,14666,0,0,0,0,0,9617,1331,2202,14150,0,8099,0,0,0,0,0
1986,F,4682,0,0,0,0,0,3470,1093,302,7581,0,2041,0,0,0,0,0
1987,F,5601,0,0,0,0,0,3910,1085,1486,6822,0,2514,0,0,0,0,0
1987,M,10938,0,0,0,0,0,6327,221,2454,6416,0,6679,0,0,0,0,0
1987,MF,16539,0,0,0,0,0,10237,1306,3940,13238,0,9193,0,0,0,0,0
1988,F,5627,0,0,0,0,0,4037,849,1750,7490,0,2905,0,0,0,0,0
1988,M,12016,0,0,0,0,0,6411,209,2650,6827,0,6804,0,0,0,0,0
1988,MF,17643,0,0,0,0,0,10448,1058,4400,14317,0,9709,0,0,0,0,0
1989,MF,17353,0,0,0,0,0,11341,1337,5475,14645,0,10620,0,0,0,0,0
1989,F,5751,0,0,0,0,0,4477,1032,2123,7857,0,3459,0,0,0,0,0
1989,M,11602,0,0,0,0,0,6864,305,3352,6788,0,7161,0,0,0,0,0
1990,F,5304,0,0,0,0,0,4817,1212,2689,8107,0,3878,0,0,0,0,552
1990,MF,15919,0,0,0,0,0,11995,1577,6812,15193,0,11348,0,0,0,0,735
1990,M,10615,0,0,0,0,0,7178,365,4123,7086,0,7470,0,0,0,0,183
1991,F,5172,0,0,0,0,0,5316,1336,3139,7972,0,4498,0,0,0,0,1006
1991,M,10154,0,0,0,0,0,7443,340,5573,6625,0,7829,0,0,0,0,466
1991,MF,15326,0,0,0,0,0,12759,1676,8712,14597,0,12327,0,0,0,0,1472
1992,M,10033,0,0,0,0,119,7803,370,6357,6826,0,8184,0,0,0,0,778
1992,MF,14975,0,0,0,0,699,13330,1559,9900,14922,0,13257,0,0,0,0,2268
1992,F,4942,0,0,0,0,580,5527,1189,3543,8096,0,5073,0,0,0,0,1490
1993,MF,14903,0,0,0,0,3944,13353,1700,10410,15395,0,13578,0,0,0,0,3107
