year,sex,ite,lasalle_degree,lasalle_diploma,nafa_degree,nafa_diploma,nanyang_polytechnic,ngee_ann_polytechnic,nie,ntu,nus,republic_polytechnic,singapore_polytechnic,sit,smu,suss,sutd,temasek_polytechnic
2014,M,7179,123,149,12,194,2380,2653,607,3042,2986,2088,3031,653,830,0,0,2557
2014,MF,11062,520,371,25,633,4983,5166,1732,5993,6210,4430,5026,1236,1602,0,0,5116
2014,F,3883,397,222,13,439,2603,2513,1125,2951,3224,2342,1995,583,772,0,0,2559
2015,M,8211,103,128,13,181,2242,2614,552,2979,2987,2135,3069,762,799,0,162,2590
2015,MF,13351,363,346,24,617,4642,5182,1880,5756,6179,4631,5057,1364,1639,0,298,5119
2015,F,5140,260,218,11,436,2400,2568,1328,2777,3192,2496,1988,602,840,0,136,2529
2016,M,7653,121,105,7,162,2434,2746,552,2790,2973,2121,3023,746,774,0,153,2569
2016,MF,12516,407,331,25,527,5161,5258,1628,5856,6305,4614,5007,1285,1804,0,246,5064
2016,F,4863,286,226,18,365,2727,2512,1076,3066,3332,2493,1984,539,1030,0,93,2495
2017,M,8050,148,94,12,144,2394,2486,393,2908,3096,1982,2924,799,859,0,160,2496
2017,MF,12858,466,331,34,591,4999,4886,1292,6174,6446,4389,4924,1494,1779,0,267,5012
2017,F,4808,318,237,22,447,2605,2400,899,3266,3350,2407,2000,695,920,0,107,2516
2018,M,8395,110,117,5,180,2170,2373,310,3037,3094,2059,2571,995,984,56,182,2266
2018,MF,13421,429,333,15,668,4584,4687,1153,5990,6700,4407,4380,1744,1887,168,334,4556
2018,F,5026,319,216,10,488,2414,2314,843,2953,3606,2348,1809,749,903,112,152,2290
