year,sex,ite,lasalle_degree,lasalle_diploma,nafa_degree,nafa_diploma,nanyang_polytechnic,ngee_ann_polytechnic,nie,ntu,nus,republic_polytechnic,singapore_polytechnic,sit,smu,suss,sutd,temasek_polytechnic
2010,F,5248,0,530,0,559,2933,2573,1327,2951,3405,2292,2260,275,823,0,0,2604
2010,M,8638,0,265,0,276,2549,2814,612,3181,3163,2050,3169,248,863,0,0,2463
2010,MF,13886,0,795,0,835,5482,5387,1939,6132,6568,4342,5429,523,1686,0,0,5067
2011,F,5484,0,341,9,508,2797,2643,1258,3026,3566,2580,2115,472,869,0,0,2666
2011,M,8614,0,239,11,208,2741,2823,569,3151,3158,2428,3233,464,860,0,0,2711
2011,MF,14098,0,580,20,716,5538,5466,1827,6177,6724,5008,5348,936,1729,0,0,5377
2012,F,5144,278,312,13,530,2615,2682,1198,3028,3545,2834,2094,597,1121,0,149,2652
2012,M,8762,120,183,12,227,2501,2879,584,2877,3188,2466,3313,707,809,0,178,2718
2012,MF,13906,398,495,25,757,5116,5561,1782,5905,6733,5300,5407,1304,1930,0,327,5370
2013,F,5459,282,289,12,454,2915,2620,946,3537,3685,2706,2071,627,983,0,103,2630
2013,M,8973,140,167,14,192,2689,2867,478,3123,3207,2348,3293,883,941,0,162,2740
2013,MF,14432,422,456,26,646,5604,5487,1424,6660,6892,5054,5364,1510,1924,0,265,5370
2014,F,5574,306,285,19,532,2756,2512,1097,3153,3857,2523,2092,813,908,145,125,2654
2014,M,9067,141,142,8,189,2593,2633,526,3327,3251,2178,3220,1023,1004,72,192,2616
2014,MF,14641,447,427,27,721,5349,5145,1623,6480,7108,4701,5312,1836,1912,217,317,5270
