year,sex,lasalle_degree,nafa_degree,nie,ntu,nus,sit,smu,suss,sutd,total,type
1982,M,0,0,192,525,5530,0,0,0,0,6247,enroll
1982,F,0,0,808,57,5563,0,0,0,0,6428,enroll
1982,MF,0,0,1000,582,11093,0,0,0,0,12675,enroll
1983,MF,0,0,1078,1267,11939,0,0,0,0,14284,enroll
1983,F,0,0,853,120,6596,0,0,0,0,7569,enroll
1983,M,0,0,225,1147,5343,0,0,0,0,6715,enroll
1984,MF,0,0,776,1945,12721,0,0,0,0,15442,enroll
1984,F,0,0,605,230,7076,0,0,0,0,7911,enroll
1984,M,0,0,171,1715,5645,0,0,0,0,7531,enroll
1985,M,0,0,244,1825,6221,0,0,0,0,8290,enroll
1985,MF,0,0,1166,2078,13617,0,0,0,0,16861,enroll
1985,F,0,0,922,253,7396,0,0,0,0,8571,enroll
1986,M,0,0,238,1900,6569,0,0,0,0,8707,enroll
1986,MF,0,0,1331,2202,14150,0,0,0,0,17683,enroll
1986,F,0,0,1093,302,7581,0,0,0,0,8976,enroll
1987,F,0,0,1085,1486,6822,0,0,0,0,9393,enroll
1987,M,0,0,221,2454,6416,0,0,0,0,9091,enroll
1987,MF,0,0,1306,3940,13238,0,0,0,0,18484,enroll
1988,F,0,0,849,1750,7490,0,0,0,0,10089,enroll
1988,M,0,0,209,2650,6827,0,0,0,0,9686,enroll
1988,MF,0,0,1058,4400,14317,0,0,0,0,19775,enroll
1989,MF,0,0,1337,5475,14645,0,0,0,0,21457,enroll
1989,F,0,0,1032,2123,7857,0,0,0,0,11012,enroll
1989,M,0,0,305,3352,6788,0,0,0,0,10445,enroll
1990,F,0,0,1212,2689,8107,0,0,0,0,12008,enroll
1990,MF,0,0,1577,6812,15193,0,0,0,0,23582,enroll
1990,M,0,0,365,4123,7086,0,0,0,0,11574,enroll
1991,F,0,0,1336,3139,7972,0,0,0,0,12447,enroll
1991,M,0,0,340,5573,6625,0,0,0,0,12538,enroll
1991,MF,0,0,1676,8712,14597,0,0,0,0,24985,enroll
1992,M,0,0,370,6357,6826,0,0,0,0,13553,enroll
1992,MF,0,0,1559,9900,14922,0,0,0,0,26381,enroll
1992,F,0,0,1189,3543,8096,0,0,0,0,12828,enroll
1993,MF,0,0,1700,10410,15395,0,0,0,0,27505,enroll
1993,M,0,0,413,6608,7119,0,0,0,0,14140,enroll
1993,F,0,0,1287,3802,8276,0,0,0,0,13365,enroll
1994,M,0,0,375,6832,7493,0,0,0,0,14700,enroll
1994,MF,0,0,1394,11052,16137,0,0,0,0,28583,enroll
1994,F,0,0,1019,4220,8644,0,0,0,0,13883,enroll
1995,MF,0,0,1341,11545,16984,0,0,0,0,29870,enroll
1995,F,0,0,997,4741,9172,0,0,0,0,14910,enroll
1995,M,0,0,344,6804,7812,0,0,0,0,14960,enroll
1996,MF,0,0,2040,12186,17669,0,0,0,0,31895,enroll
1996,F,0,0,1507,5030,9663,0,0,0,0,16200,enroll
1996,M,0,0,533,7156,8006,0,0,0,0,15695,enroll
1997,M,0,0,641,7448,8111,0,0,0,0,16200,enroll
1997,F,0,0,1528,5312,10063,0,0,0,0,16903,enroll
1997,MF,0,0,2169,12760,18174,0,0,0,0,33103,enroll
1998,M,0,0,624,7824,8465,0,0,0,0,16913,enroll
1998,F,0,0,1572,5494,10326,0,0,0,0,17392,enroll
1998,MF,0,0,2196,13318,18791,0,0,0,0,34305,enroll
1999,MF,0,0,3299,13849,19873,0,0,0,0,37021,enroll
1999,F,0,0,2333,5740,10814,0,0,0,0,18887,enroll
1999,M,0,0,966,8109,9059,0,0,0,0,18134,enroll
2000,F,0,0,2247,6223,11341,0,212,0,0,20023,enroll
2000,MF,0,0,3072,14583,21233,0,305,0,0,39193,enroll
2000,M,0,0,825,8360,9892,0,93,0,0,19170,enroll
2001,F,0,0,2292,6504,11781,0,579,0,0,21156,enroll
2001,MF,0,0,3095,15008,22172,0,803,0,0,41078,enroll
2001,M,0,0,803,8504,10391,0,224,0,0,19922,enroll
2002,MF,0,0,3368,15598,22169,0,1389,0,0,42524,enroll
2002,M,0,0,913,8776,10516,0,415,0,0,20620,enroll
2002,F,0,0,2455,6822,11653,0,974,0,0,21904,enroll
2003,F,0,0,2080,6830,11036,0,1469,0,0,21415,enroll
2003,MF,0,0,2953,15764,22149,0,2182,0,0,43048,enroll
2003,M,0,0,873,8934,11113,0,713,0,0,21633,enroll
2004,M,0,0,732,9368,10409,0,1019,0,0,21528,enroll
2004,MF,0,0,2282,16837,21781,0,3010,0,0,43910,enroll
2004,F,0,0,1550,7469,11372,0,1991,0,0,22382,enroll
2005,MF,0,0,2881,17777,22105,0,3781,0,0,46544,enroll
2005,M,0,0,941,9683,10779,0,1542,0,0,22945,enroll
2005,F,0,0,1940,8094,11326,0,2239,0,0,23599,enroll
2006,F,0,0,1998,8797,11766,0,2429,0,0,24990,enroll
2006,MF,0,0,2938,19114,22836,0,4259,0,0,49147,enroll
2006,M,0,0,940,10317,11070,0,1830,0,0,24157,enroll
2007,F,0,0,1878,9769,12396,0,2758,0,0,26801,enroll
2007,MF,0,0,2725,20206,23578,0,5178,0,0,51687,enroll
2007,M,0,0,847,10437,11182,0,2420,0,0,24886,enroll
2008,MF,0,0,2581,21097,24086,0,5721,0,0,53485,enroll
2008,F,0,0,1758,10409,12663,0,2993,0,0,27823,enroll
2008,M,0,0,823,10688,11423,0,2728,0,0,25662,enroll
2009,M,0,0,908,11345,11854,0,3036,0,0,27143,enroll
2009,MF,0,0,2804,22450,24798,0,6331,0,0,56383,enroll
2009,F,0,0,1896,11105,12944,0,3295,0,0,29240,enroll
2010,MF,0,0,2816,22862,25189,523,6721,0,0,58111,enroll
2010,M,0,0,930,11473,12122,248,3196,0,0,27969,enroll
2010,F,0,0,1886,11389,13067,275,3525,0,0,30142,enroll
2011,M,0,11,820,11686,12447,684,3330,0,0,28978,enroll
2011,MF,0,20,2579,23040,25513,1416,6853,0,0,59421,enroll
2011,F,0,9,1759,11354,13066,732,3523,0,0,30443,enroll
2012,M,310,21,821,11476,12684,1341,3424,0,178,30255,enroll
2012,MF,1081,43,2445,22862,25979,2587,7108,0,327,62432,enroll
2012,F,771,22,1624,11386,13295,1246,3684,0,149,32177,enroll
2013,M,334,26,622,11260,12624,1734,3508,0,334,30442,enroll
2013,F,956,25,1216,11517,13532,1317,3789,0,249,32601,enroll
2013,MF,1290,51,1838,22777,26156,3051,7297,0,583,63043,enroll
2014,M,330,22,600,11398,12755,2075,3632,72,523,31407,enroll
2014,MF,1176,53,1913,23021,26797,3557,7515,217,886,65135,enroll
2014,F,846,31,1313,11623,14042,1482,3883,145,363,33728,enroll
1982,M,0,0,149,525,1913,0,0,0,0,2587,intake
1982,F,0,0,739,57,2024,0,0,0,0,2820,intake
