year,level_1,level_2,level_3,level_4,value
2015,Total,Total,Total,Education,33.6
2015,Total,Total,Total,Fine & Applied Arts,17.5
2015,Total,Total,Total,Humanities & Social Sciences,96.2
2015,Total,Total,Total,Mass Communication & Information Science,18.2
2015,Total,Total,Total,Business & Administration,274.7
2015,Total,Total,Total,Law,14.4
2015,Total,Total,Total,"Natural, Physical, Chemical & Mathematical Sciences",53.9
2015,Total,Total,Total,Health Sciences,41.2
2015,Total,Total,Total,Information Technology,67.6
2015,Total,Total,Total,"Architecture, Building & Real Estate",19.5
2015,Total,Total,Total,Engineering Sciences,157.6
2015,Total,Total,Total,Others,13.5
2015,Total,Males,Total,Education,7.9
2015,Total,Males,Total,Fine & Applied Arts,6.3
2015,Total,Males,Total,Humanities & Social Sciences,33.3
2015,Total,Males,Total,Mass Communication & Information Science,5.8
2015,Total,Males,Total,Business & Administration,125
2015,Total,Males,Total,Law,6.6
2015,Total,Males,Total,"Natural, Physical, Chemical & Mathematical Sciences",23.3
2015,Total,Males,Total,Health Sciences,13.6
2015,Total,Males,Total,Information Technology,42.5
2015,Total,Males,Total,"Architecture, Building & Real Estate",10.2
2015,Total,Males,Total,Engineering Sciences,123.9
2015,Total,Males,Total,Others,7.5
2015,Total,Females,Total,Education,25.8
2015,Total,Females,Total,Fine & Applied Arts,11.1
2015,Total,Females,Total,Humanities & Social Sciences,62.9
2015,Total,Females,Total,Mass Communication & Information Science,12.4
2015,Total,Females,Total,Business & Administration,149.8
2015,Total,Females,Total,Law,7.8
2015,Total,Females,Total,"Natural, Physical, Chemical & Mathematical Sciences",30.6
2015,Total,Females,Total,Health Sciences,27.5
2015,Total,Females,Total,Information Technology,25.2
2015,Total,Females,Total,"Architecture, Building & Real Estate",9.4
2015,Total,Females,Total,Engineering Sciences,33.7
2015,Total,Females,Total,Others,6
2015,Singapore,Total,Total,Education,25.4
2015,Singapore,Total,Total,Fine & Applied Arts,7.9
2015,Singapore,Total,Total,Humanities & Social Sciences,55.9
2015,Singapore,Total,Total,Mass Communication & Information Science,10.7
2015,Singapore,Total,Total,Business & Administration,178
2015,Singapore,Total,Total,Law,6.6
