year,class_of_licence,qualified_driving_licence_holders
2007,Class 2,131899
2007,Class 2A,184834
2007,Class 2B,376496
2007,Class 3,1372655
2007,Class 3A,22049
2007,Class 3C,na
2007,Class 3CA,na
2007,Class 4,132928
2007,Class 4A,10225
2007,Class 5,65788
2008,Class 2,132421
2008,Class 2A,187280
2008,Class 2B,393352
2008,Class 3,1436033
2008,Class 3A,33843
2008,Class 3C,na
2008,Class 3CA,na
2008,Class 4,134750
2008,Class 4A,10969
2008,Class 5,66023
2009,Class 2,137439
2009,Class 2A,193962
2009,Class 2B,418776
2009,Class 3,1517384
2009,Class 3A,47081
2009,Class 3C,na
2009,Class 3CA,na
2009,Class 4,137696
2009,Class 4A,11989
2009,Class 5,67028
2010,Class 2,139364
2010,Class 2A,197403
2010,Class 2B,433684
2010,Class 3,1573714
2010,Class 3A,60935
2010,Class 3C,na
2010,Class 3CA,na
2010,Class 4,140162
2010,Class 4A,12542
2010,Class 5,67404
2011,Class 2,139933
2011,Class 2A,198876
2011,Class 2B,442268
2011,Class 3,1611744
2011,Class 3A,74528
2011,Class 3C,na
2011,Class 3CA,na
2011,Class 4,140924
2011,Class 4A,13140
2011,Class 5,67016
2012,Class 2,141406
2012,Class 2A,200794
2012,Class 2B,456562
2012,Class 3,1660253
2012,Class 3A,87204
2012,Class 3C,na
2012,Class 3CA,na
2012,Class 4,141638
2012,Class 4A,14213
2012,Class 5,66348
2013,Class 2,142779
2013,Class 2A,202765
2013,Class 2B,471380
2013,Class 3,1708289
2013,Class 3A,100655
2013,Class 3C,na
2013,Class 3CA,na
2013,Class 4,142954
2013,Class 4A,15249
2013,Class 5,65910
2014,Class 2,143690
2014,Class 2A,204266
2014,Class 2B,485832
2014,Class 3,1754554
2014,Class 3A,114603
2014,Class 3C,na
2014,Class 3CA,na
2014,Class 4,144641
2014,Class 4A,16564
2014,Class 5,65364
2015,Class 2,142381
2015,Class 2A,203175
2015,Class 2B,498923
2015,Class 3,1782907
2015,Class 3A,130254
2015,Class 3C,12028
2015,Class 3CA,44
2015,Class 4,143959
2015,Class 4A,17614
2015,Class 5,63388
2016,Class 2,133857
2016,Class 2A,196030
2016,Class 2B,500413
2016,Class 3,1770980
2016,Class 3A,146414
2016,Class 3C,29732
2016,Class 3CA,113
2016,Class 4,143624
2016,Class 4A,18246
2016,Class 5,61627
2017,Class 2,132562
2017,Class 2A,195677
2017,Class 2B,506195
2017,Class 3,1772119
2017,Class 3A,163385
2017,Class 3C,43745
2017,Class 3CA,176
2017,Class 4,143095
2017,Class 4A,18587
2017,Class 5,59449
2018,Class 2,132390
2018,Class 2A,196544
2018,Class 2B,515691
2018,Class 3,1785547
2018,Class 3A,182736
2018,Class 3C,61380
2018,Class 3CA,259
2018,Class 4,141653
2018,Class 4A,19234
2018,Class 5,57134
